source_group,n
Batson et al 1972,42
Singh & Jain 2014,31
Narayanan and Darwish 1987,27
"Li, Ward, Hamza 1992",21
Dinh et al 2010,20
Dupont and Vandewalle,20
Rosenbusch and Teutsch 2003,18
Noghabai 2000,18
Ashour et al 1992,17
Cho and Kim 2003,11
Narayanan and Darwish 1988,10
Qissab and Salman 2018,10
Parra-Montesinos et al 2006,9
Zarrinpour and Chao 2017,9
Shoaib 2012,9
Arslan et al 2017,8
Tahenni et al 2016,8
Minelli & Plizzari 2013,8
Mansur et al 1986,8
Greenough and Nehdi 2008,8
Lim et al 1987,6
Swamy et al 1993,6
Jindal 1984,6
Hwang et al 2013,6
Furlan and de Hanai 1997,6
Manju et al. 2017,5
Randl et al 2017,5
Adebar et al 1997,5
"shin, oh, ghosh 1994",5
Roberts and Ho 1982,5
Tan et al 1993,4
Swamy and Bahia 1985,4
Aoude and Cohen 2014,4
Sahoo & Sharma 2014,3
Cucchiara et al 2004,3
Kwak et al 2002,3
Aoude et al 2012,3
zhao et al 2018,3
"Imam, Vandewalle, Mortelmans 1994",3
"Kwak, Suh, Hsu 1991",3
"Shoaib, Lubell and Bindiganavile",2
"Shoaib, Lubell and Bindiganavile 2015",2
Sahoo et al 2016,2
Narayanan and Darwish,2
Casanova et al 1997,2
Kang et al,2
Kang et al 2011,2
Yoo & Yang 2018,2
Zamanzadeh et al 2015,2
Abdul-Zaher et al 2016,2
Singh & Jain,1
Sahoo & Sharma,1
Manju et al.,1
Arslan et al,1
Parra-Montesinos et al,1
Rosenbusch and Teutsch,1
Sahoo et al,1
Amin and Foster,1
Amin and Foster 2016,1
Tahenni et al,1
Cucchiara et al,1
Kwak et al,1
Lim and Oh,1
Lim and Oh 1999,1
Dinh et al,1
Lima Araujo et al,1
Lima Araujo et al 2014,1
Casanova et al,1
Aoude et al,1
Minelli & Plizzari,1
Casanova & Rossi,1
Casanova & Rossi 1999,1
Lim et al,1
Mansur et al,1
Zarrinpour and Chao,1
Noghabai,1
Randl et al,1
Ashour et al,1
Tan et al,1
Pansuk et al,1
Pansuk et al 2017,1
Kim et al,1
Kim et al 2017,1
"sharma, 1986",1
"Li, Ward, Hamza",1
Swamy et al,1
Adebar et al,1
Cho and Kim,1
Greenough and Nehdi,1
Kang et al 2012,1
Swamy and Bahia,1
Batson et al,1
zhao et al,1
Jindal,1
"shin, oh, ghosh",1
"Imam, Vandewalle, Mortelmans",1
Huang et al 2005,1
"Kwak, Suh, Hsu",1
Roberts and Ho,1
Hwang et al,1
Spinella et al,1
Spinella et al 2012,1
Chalioris and Sfiri 2011,1
Cohen and Aoude 2012,1
Qissab and Salman,1
Furlan and de Hanai,1
Danygier and Savir,1
Danygier and Savir 2010,1
Krassowska & Kosior-Kazberuk,1
Krassowska & Kosior-Kazberuk 2018,1
Yoo & Yang,1
Gali & Subramaniam,1
Gali & Subramaniam 2017,1
Zamanzadeh et al,1
"Shoaib, Lubell and Bindiganavile 2014",1
"Bae, Choi & Choi",1
"Bae, Choi & Choi 2013",1
Abdul-Zaher et al,1
