dataset_id,title,role,doi,official_url,licence,records,relation_tier,note
uci_concrete_1030,UCI concrete compressive strength,duplication-relation control,10.24432/C5PK67,https://doi.org/10.24432/C5PK67,TO VERIFY (repository default),1030,duplication,seven-ingredient and eight-input keys reported separately
sfrc_shear_488,SFRC beam shear strength database,source-level holdout,10.5281/zenodo.2578061,https://doi.org/10.5281/zenodo.2578061,TO VERIFY,488,source-level,same asset as the Rahman et al. study
stub_cfst_1316,Stub CFST axial compression capacity,proxy holdout and feasibility boundary,10.1038/s41598-024-53352-1,https://doi.org/10.1038/s41598-024-53352-1,TO VERIFY (article + supplementary),1316,proxy (section family),feasibility boundary 674/1316 = 0.512158
corroded_beam_804,Monotonic flexural testing of corroded RC beams,source-level holdout; decision experiment,10.5281/zenodo.8062007,https://doi.org/10.5281/zenodo.8062007,TO VERIFY,804,source-level,release-decision scenario
shearwall_393,RC shear-wall failure-mode database,classification; decision experiment,10.1016/j.engstruct.2020.110331,https://doi.org/10.1016/j.engstruct.2020.110331,TO VERIFY,393,source-level,identifier corrected in this work
wall_prj2430,UoA-UW reinforced concrete wall database,two-relation case,10.17603/ds2-r12q-t415,https://doi.org/10.17603/ds2-r12q-t415,TO VERIFY (DesignSafe published project),142,source-level + proxy,union graph is a single component
coupling_prj3053,Database of diagonally-reinforced concrete coupling beams,source-level holdout,10.17603/ds2-46wc-n185,https://doi.org/10.17603/ds2-46wc-n185,TO VERIFY (DesignSafe published project),60,source-level,identifier corrected in this work
rc_columns_circ,Circular RC column database,corpus inventory,10.17603/ds2-52bz-0n63,https://doi.org/10.17603/ds2-52bz-0n63,TO VERIFY,174,source-level,not in the protocol-controlled regression set
rc_columns_rect,Rectangular RC column database,corpus inventory,10.17603/ds2-7qg0-4303,https://doi.org/10.17603/ds2-7qg0-4303,TO VERIFY,327,source-level,not in the protocol-controlled regression set
joints_mendeley_203,Exterior RC beam-column joint experiments,corpus inventory,10.17632/8ndgpm7zw7.1,https://data.mendeley.com/datasets/8ndgpm7zw7/1,CC BY 4.0,203,source-level (partial labels),not in the protocol-controlled regression set
joints_mendeley_98,Beam-column joint shear strength under cyclic loading,corpus inventory,10.17632/rbhfnz32sy.1,https://data.mendeley.com/datasets/rbhfnz32sy/1,CC BY 4.0,98,source-level,not in the protocol-controlled regression set
